text,label
"We speak to Daniel Yu, founder and CEO of Wasoko, a supply chain and distribution company established in 2015 to respond to the challenges faced by small and micro-businesses across Africa in managing stock levels. Having raised $125 million in Series B funding, Wasoko is valued at $625 million and aims to eliminate the inefficiencies plaguing Africa's enormous, dynamic 'informal' retail economy. Its network spans 75,000 businesses across six African countries, with the plan to become the 'operating system' for commerce across urban Africa. The conversation covers the possibilities of the technology sector for the continent, the deficits in regulatory and operational frameworks structuring the innovation environment, and the ambition to turn Zanzibar into an innovation hub.",economy
"Niger has set strict conditions for reopening its border with Benin, closed since the July 2023 military takeover. Among them are a new defence agreement, greater transparency over foreign military activities near the border, and the creation of a joint intelligence unit. The conditions were outlined during talks in Cotonou between a Niger delegation led by Maj Gen Mohamed Toumba, a member of the ruling military junta, and Beninese officials. Also, in The Gambia, the country is grappling with rising temperatures, coastal erosion, erratic rainfall, and growing pressure on communities that depend on agriculture and fisheries, all due to climate change.",politics
"Urban Action Lab founder Shuaib Lwasa talks to ACRC's co-research director Seth Schindler about 'unlearning' mainstream urban planning, ways to scale up micro-level innovations to drive transformation in African cities, and how coproducing knowledge goes beyond just empowering research participants. Shuaib Lwasa is professor of urban sustainability at Makerere University in Uganda and leads the African Cities Research Consortium's capacity strengthening work.",economy
"Host Adesoji Iginla and guest Milton Allimadi, a journalist and African affairs expert, unpack the week's most pressing African stories. The conversation explores the evolving political landscape in Africa, focusing on the empowerment of youth voters who are challenging long-standing political parties. It discusses the implications of U.S. foreign policy on African nations, the rising issue of disinformation in West Africa, and the Western media's portrayal of the continent. The speakers emphasise the need for historical awareness among the youth, African agency in addressing conflicts, and the importance of African leadership taking charge of narratives and solutions rather than relying on external influences.",politics
"In conversation with Ntate Sipho 'Hotstix' Mabuse on music, liberation and the African Renaissance. Sipho Mabuse, known professionally as 'Hotstix', is a South African singer-songwriter who grew up in Soweto. He got his start in the Afro-soul group the Beaters in the mid-1970s; after a successful tour of Zimbabwe they changed the group's name to Harari, an Afro-soul band led by Mabuse.",arts
"This episode refutes the myth that Africa required Western intervention to achieve modernity, democracy, and scientific progress. By highlighting the sophisticated checks and balances found in the governments of the Asante, Xhosa, and Benin kingdoms, it demonstrates that African political systems were often as accountable and enlightened as European models.",history
"Russia's security presence in Africa may be entering a new chapter, with the Central African Republic at the heart of the story. Reports suggest Moscow is looking to replace the private military operatives of the Wagner Group with Africa Corps, a force overseen by Russia's Defence Ministry. But the handover appears far from straightforward, raising questions about Russia's influence across the continent, the future of its security partnerships, and what it all means for the Central African Republic. Also, in China, an online trend involving dark-skinned dolls known as Natasha Dolls fuels discussion about racism and discrimination.",politics
"Two thirds of people living in Lagos reside in informal settlements, often in flood-prone areas and with limited access to basic services. As more people move into the city, the already high population density is rising, with more than 8,000 people per square kilometre in some parts. Research highlights a lack of attention on improving the climate resilience of Lagos, major issues with the rental sector, inadequate provision for gendered housing access, and challenges around high construction costs. In this conversation, Ismail Ibraheem is joined by Deji Akinpelu, Lookman Oshodi and Basirat Oyalowo to discuss the need for a social approach to housing provision, why transformation must be inclusive of vulnerable populations, and how cooperative societies can provide accessible housing financing for disadvantaged groups.",economy
"In this episode we speak to Dr Sherif Ayoub, Head of the African Carbon Markets Initiative, about his work scaling up the market for carbon credits in Africa to create jobs and prosperity. We also hear from project developers KOKO Networks about how these projects actually take place on the ground in Africa.",economy
"Host Marion is joined by Mireille Kayijamahe, founder of Terra Mucho, a podcast and platform uplifting African women's leadership across the Congo Basin through storytelling, mentoring and well-being. Mireille works in one of the most biodiverse regions on Earth, a place too often reduced to extremes in the news. Parts of this region, including her place of heritage, the Democratic Republic of Congo, are shaped by decades of conflict and hardship alongside everyday acts of care, love and resilience. This is a conversation beyond the news headlines: the voices, leadership, tenderness, and everyday peace-making that rarely make it into global narratives.",politics
"The provided text examines the geopolitical and economic struggles of Liberia during the early twentieth century, focusing on the tension between sovereignty and foreign exploitation. It highlights how the Firestone rubber concessioncreated a predatory debt system that undermined the nation's independence while exposing systemic forced labor issues. Central to this narrative is the intellectual activism of Nnamdi Azikiwe, who utilized legal scholarship and the Black press to defend the republic against Western imperial designs. These sources further trace how Azikiwe’s experiences with the Liberian crisis shaped his later role in Nigerian decolonization and his vision for global racial equality. Finally, the material connects these historical events to modern-day corporate accountability and the ongoing challenges of managing multinational capital in Africa.",history
"The Dangote Petroleum Refinery in Nigeria represents a massive shift in the global energy sector, transitioning the region from a fuel importer to a strategic international supplier. As the world’s largest single-train facility, it features advanced technical architecture that allows it to produce high-value fuels, effectively displacing traditional European exports and stabilizing the Atlantic Basin market. Despite its success in bolstering Nigeria's macroeconomic resilience and reducing foreign exchange pressure, the project faces ongoing hurdles regarding consistent domestic crude supply and initial mechanical normalization. The refinery has also revitalized maritime logistics at Lekki Port, turning the Gulf of Guinea into a primary hub for global shipping routes. Future expansions aim to double its capacity and increase petrochemical production, cementing Africa’s role as a self-sufficient powerhouse in the downstream oil industry. This industrial transformation serves as a critical geopolitical stabilizer, especially during energy crises that disrupt traditional Middle Eastern supply chains.",history
"Between 2024 and 2026, the relationship between China and Africa evolved from a transactional bond into a sophisticated strategic alignment focused on high-quality development and shared modernization. This partnership has shifted away from massive infrastructure lending toward ""Small yet Beautiful"" projects, emphasizing digital connectivity, agricultural value addition, and the use of the yuan to ensure debt sustainability. While China maintains dominance through maritime logistics, critical mineral refining, and telecommunications infrastructure, this expansion has also introduced new security collaborations and military coordination. Despite record-breaking trade figures and zero-tariff policies, challenges remain regarding labor rights, environmental degradation, and the widening trade imbalance. Ultimately, the sources describe a geopolitical shift that integrates African economies into a China-centric order while pressuring Western powers to offer competitive investment alternatives.",history
"In this episode, we explore the role of horns in spiritual practice across kingdoms like Buganda, Bunyoro, and Busoga. Often filled, sealed, and carried, these horns were believed to contain forces that could protect individuals from harm but also act against others. Moving beyond simple explanations, this episode looks at how these practices reflect a broader worldview: one in which illness, misfortune, and even truth itself were tied to unseen forces that could be influenced, controlled, or resisted. Sources Bamunoba, Yoramu K.. The Cult of Spirits in Ankole. N.p.: Amazon Digital Services LLC - KDP Print US, 2019. Beattie, J. H. M. (John). ""Divination in Bunyoro, Uganda."" Sociologus 14, no. 1 (1964): 44–61. Bjerke, Svein. Religion and Misfortune: The Bacwezi Complex and the Other Spirit Cults of the Zinza of Northwestern Tanzania. Norway: Columbia University Press, 1981. Culture Research Centre. Ritual Gestures in Busoga. Jinja, Uganda: Culture Research Centre, 2001. Kodesh, Neil. Beyond the Royal Gaze: Clanship and Public Healing in Buganda. United Kingdom: University of Virginia Press, 2010. Kyewalanga, Francis. Traditional Religion, Custom & Christianity in Uganda. Okot P’Bitek, “Religion of the Central Luo” Kenya Literature Bureau University of Minnesota, 1978 Schoenbrun, David L.. The Names of the Python: Belonging in East Africa, 900 to 1930. United States: University of Wisconsin Press, 2021.",history
"In this pilot episode, we journey to the towering stone ruins of Great Zimbabwe, a medieval African kingdom that dominated trade routes between the interior and the Indian Ocean coast. Lucas and Luna explore the city's massive, mortarless stone walls—the largest ancient structures in sub-Saharan Africa—and the iconic soapstone birds that became a national symbol. Who built this city? When did it flourish, and why was it abandoned? We dive into the competing theories, the deliberate colonial erasure of its African origins, and how Great Zimbabwe forces us to rethink the narrative of African civilization. From gold and ivory trade with Swahili city-ports to the mysterious decline in the 15th century, this episode lays the groundwork for a series that will challenge what you thought you knew about Africa's precolonial past. No romanticization, just the evidence—and the questions that remain. #GreatZimbabwe #AfricanHistory #MedievalAfrica #Zimbabwe #Shona #StoneArchitecture #Munhumutapa #IndianOceanTrade #GoldTrade #SwahiliCoast #SoapstoneBirds #AfricanCivilization #ColonialErasure #LostCities #Archaeology #SouthernAfrica #History #FexingoHistory #ShonaCivilization #KingdomOfZimbabwe Keep every episode free: buymeacoffee.com/fexingo",history
"In this episode of Fexingo History, Lucas and Luna explore the mysterious soapstone birds of Great Zimbabwe, focusing on the reign of Mambo Tariro around 1302. The conversation delves into the discovery of a bird workshop in the Valley Complex, revealing how these iconic carvings were produced, their spiritual significance tied to the svikiro spirit mediums, and their role in legitimizing royal authority. The hosts discuss the symbolic connection between the birds and the Mwari cult, the technical skill of the vaShona carvers, and the trade networks that brought soapstone from nearby quarries. They also examine the debate among historians: were the birds totems, messengers to ancestors, or symbols of the king's divine power? The episode touches on the broader context of Great Zimbabwe's prosperity and the eventual dispersal of the birds during the city's decline in the 1400s. Listeners gain insight into how these unique artifacts reflect the complex blend of politics, religion, and artistry that defined this ancient kingdom. #GreatZimbabwe #SoapstoneBirds #MamboTariro #Svikiro #Mwari #vaShona #GreatEnclosure #HillComplex #ValleyComplex #ZimbabweBird #Dzimbabwe #SouthernAfricaHistory #AfricanKingdoms #SpiritMediums #ZimbabweArchaeology #AncientArt #FexingoHistory #History Keep every episode free: buymeacoffee.com/fexingo",history
"In Episode 100, Lucas and Luna return to the reign of Mambo Nemakonde, but from a fresh angle: the elaborate system of legal trials and oath-taking that held Great Zimbabwe together. While earlier episodes touched on the poison ordeal of succession, this episode dives into a specific case from 1297, when a prominent dzimbabwe headman named Chisunga was accused of witchcraft and forced to undergo the mupfura poison test. Lucas explains how the nganga administered the ordeal, the role of the svikiro spirit medium in interpreting the results, and the political fallout when Chisunga survived — which was taken as proof of his innocence but also as a sign that Nemakonde's authority was slipping. The conversation also covers the broader legal culture of the vaShona: how oaths were sworn on sacred objects like the Zimbabwe bird soapstone carvings, how trade disputes with Sofala and Kilwa were adjudicated, and how the mambo's court functioned as both a judicial and spiritual center. Luna asks sharp questions about the reliability of ordeal justice and how it compared to other African legal traditions. The episode ends with a reflection on what the ruins of the Great Enclosure tell us about the spatial organization of justice — where the mambo sat, where the nganga performed rituals, and where the accused waited. #GreatZimbabwe #MamboNemakonde #PoisonOrdeal #Mupfura #Nganga #Svikiro #VaShona #ZimbabweBird #GreatEnclosure #HillComplex #Sofala #Kilwa #AfricanHistory #MedievalAfrica #LegalHistory #WitchcraftTrials #History #FexingoHistory Keep every episode free: buymeacoffee.com/fexingo",history
"In this episode, we examine the gradual decline of Ancient Egypt, from internal instability and economic challenges to repeated foreign invasions and shifting regional power. Using historical and archaeological evidence, we explore how one of the world’s longest-lasting civilizations slowly came to an end.",history
"Ethiopia is home to one of the oldest continuous civilizations on Earth. For thousands of years, powerful kingdoms, ancient traditions, and remarkable cultures flourished among its mountains, valleys, and highlands. From the legendary Kingdom of Aksum to medieval emperors and centuries of independence, Ethiopia developed a unique history unlike any other nation in Africa. Its story is filled with ancient churches, royal dynasties, trade routes, and enduring traditions that survived the rise and fall of empires. A calm journey through ancient kingdoms, stone monuments, sacred traditions, and the long history of one of the world's oldest nations. Boring History For Sleep — Soft stories about difficult lives.",history
"Ancient Egypt was shaped not only by its pharaohs, but by powerful queens whose influence extended far beyond the throne. Hidden treasures, royal courts, and shifting alliances reveal a world of power, strategy, and legacy.At the center stands Cleopatra, alongside other queens who navigated politics, identity, and survival in a changing world. Behind the legends lie real decisions, fragile authority, and the quiet forces that shaped history.A calm journey through lost treasures, royal lives, and the enduring legacy of Egypt’s queens. Boring history for sleep – Soft stories about difficult lives.",history
"**Unlock the entire Ancient Egypt series early and ad-free by joining the Empire Club at empirepoduk.com** His death mask is one of the most famous faces in Ancient Egyptian history, but who was the real Tutunkhamun? What do the items found in his tomb tell us about his life? And what myths have been spread about him? Anita and William are joined by Dr Campbell Price, author of Golden Mummies of Egypt, and Curator of Ancient Egypt and Sudan at Manchester Museum, to discuss the life of King Tut. Sign up and get 10% off at BetterHelp.com/EMPIRE Join the Empire Club: Unlock the full Empire experience – with bonus episodes, ad-free listening, early access to miniseries and live show tickets, exclusive book discounts, a members-only newsletter, and access to our private Discord chatroom. Sign up directly at empirepoduk.com. For more Goalhanger Podcasts, head to",history
"**Unlock the entire Ancient Egypt series early and ad-free by joining the Empire Club at empirepoduk.com** Her image has been reproduced by countless artists in recent years, but who was the real Nefertiti? How did she become a pharaoh in her own right? And why is there still controversy over her statue? Anita and William are joined once again by Aidan Dodson, author of Nefertiti, Queen and Pharaoh of Egypt: Her Life and Afterlife, to discuss the iconic queen. Try Attio for free at attio.com/empire Join the Empire Club: Unlock the full Empire experience – with bonus episodes, ad-free listening, early access to miniseries and live show tickets, exclusive book discounts, a members-only newsletter, and access to our private Discord chatroom. Sign up directly at empirepoduk.com. For more Goalhanger Podcasts, head to",history
"**Unlock the entire Ancient Egypt series early and ad-free by joining the Empire Club at ⁠empirepoduk.com⁠** Why did Egyptian priests wear animal masks? Who was the goddess of hangovers? And how did the Pharaoh, Akhenaten, destroy the many Egyptian gods to worship the sun disc, the Aten? William and Anita are joined by Professor Lloyd Lewellyn-Jones to discuss Akhenaten’s extraordinary religious revolution and whether he was a pioneer or a tyrant. Join the Empire Club: Unlock the full Empire experience – with bonus episodes, ad-free listening, early access to miniseries and live show tickets, exclusive book discounts, a members-only newsletter, and access to our private Discord chatroom. Sign up directly at ⁠empirepoduk.com⁠. For more Goalhanger Podcasts, head to ⁠",history
"After Barbary: Algeria's Roles in the French and American Empires (Cornell University Press, 2025) by Dr. Timothy Mason Roberts explores the connection between the United States and North Africa between the Barbary Wars of the early nineteenth century and the era of European decolonization after World War II. Dr. Roberts offers a new approach to the study of empires, highlighting the significance of Algeria in French-American relations from France's first occupation of the country through the first years of independence of the Republic of Algeria. As Dr. Roberts demonstrates, imperial authorities in Washington, DC; Paris; and Algiers rarely collaborated intentionally in institutional partnerships or alliances. Rather, American, French, and Algerian politicians, soldiers, writers, and revolutionaries—often acting at cross purposes and across political and cultural boundaries—sought power by imagining and constructing Algeria as a fissured, dynamic, transimperial space. Focusing on issues of settler colonialism, irregular warfare, racialized citizenship, territorial incorporation, and pan-African identity, After Barbary shows how French Algeria helped make the American and French empires. This interview was conducted by Dr. Miranda Melcher whose book focuses on post-conflict military integration, understanding treaty negotiation and implementation in civil war contexts, with qualitative analysis of the Angolan and Mozambican civil wars. You can find Miranda’s interviews on New Books with Miranda Melcher, wherever you get your podcasts.",history
"Mesrob Vartavarian has written a wonderful book. Privileged Minorities: A History of Wealth Concentration on South Africa (Ohio UP, 2026) argues that the rise of privileged minorities – small, exclusive groups that dominate political and economic life – parallels the development of successful anticolonial movements. Vartavarian traces how distinct sociocultural groups in South Africa navigated and negotiated these advantages from the Dutch colonial era through the rise and decline of the ruling African National Congress (ANC). He then demonstrates why ANC elites have not dismantled minority privilege, and how challenges from marginalised groups have served to reshape entrenched advantages by incorporating new actors into existing structures. These dynamics have produced composite systems of accumulation that have deepened socio-economic inequality. Privileged Minorities offers a compelling framework for understanding how structural advantage persists and evolves, even in the wake of promised liberation from political and economic elites. Mesrob Vartavarian recommends two books for further learning at the end of our interview. They are: Anthony Butler (2025). Presidential Power, Jacana Media; and Jeffrey A. Winters (2012). Oligarchy, Cambridge University Press.",history
"The conversation covers the historical emergence of Algeria as a political and territorial unit, starting in the Ottoman period in the 16th century. Key pivotal moments in Algerian history are highlighted, including French colonialism beginning in 1830, which led to a settler colonial project, the rise of the modern mass nationalist movement in the interwar period, the War of National Liberation (1954–1962), and the decade of violence in the 1990s. The latter half of the conversation focuses on the ""Worlds of Islam,"" emphasizing a polycentric history with no single center. A historian, professor at the University of Oxford, and author of books ""A History of Algeria"" and ""The Worlds of Islam: A Global History"", James McDougall details the diverse ""technologies"" of Islam's spread, including its compelling initial mission, the appeal of social mobility for non-Arabs, trade networks, and the influence of Sufism. He also discusses the historical roots of Islamophobia, which is traced to the 19th-century colonial moment. He discusses why he was drawn to studying Algeria, a country he notes is often ignored in Middle East studies and is known as ""the land of a million martyrs"" for its iconic history of resistance to colonialism. 0:00 Introduction 2:08 Intellectual Curiosity and Addressing Poor Understanding of the Region 7:37 When Did Algeria Begin to Exist? Debunking the Colonial Narrative 12:38 Pivotal Moments in Algerian History 13:48 The Ottoman Period (16th–19th Century) and Connection to the Levant 16:29 Settler Colonialism Under the French (1830 Onwards) 19:46 The War of National Liberation (1954–1962) 20:41 The Violence of the 1990s 21:35 Is the War of Independence Connected to the 1990s Civil Strife? 23:34 The Legacy of French Colonial Misunderstanding and Racism 31:27 Algeria as an Anti-Colonial Symbol Across the Arab World 32:18 Leadership of the Algerian Revolution 38:37 The Worlds of Islam: A Polycentric Global History 46:05 Technologies of Islam's Spread 49:18 Muslims as a Minority in the Middle East After the Early Conquests 53:15 Why Islam Did Not Spread Everywhere Earlier 55:20 The Historical Development of Islamophobia Readings on Global history and Islamic history: Josephine Quinn, How the World Made the West: A 4000 Year History (2024) Cemil Aydin, The Idea of the Muslim World: A Global Intellectual History (2017) Readings on Algeria: Natalya Vince, The Algerian War, the Algerian Revolution (2020) Malika Rahal, Algérie 1962, une histoire populaire (2022) Jeffrey James Byrne, Mecca of Revolution: Algeria, Decolonization, and the Third World Order (2016) Thomas Serres, The Suspended Disaster: Governing by Crisis in Bouteflika’s Algeria (2023) Muriam Haleh Davis, Markets of Civilization: Islam and Racial Capitalism in Algeria (2022) Christopher Silver, Recording History: Jews, Muslims and Music across 20th century North Africa (2022) Sara Rahnema, The Future is Feminist: Women and Social Change in Interwar Algeria (2023) Arthur Asseraf, Electric News in Colonial Algeria (2019) James Robert McDougall is a British historian and Professor of Modern and Contemporary History at the University of Oxford and Laithwaite Fellow in History at Trinity College, Oxford. His research mainly addresses the modern and contemporary Mediterranean; Middle Eastern, African and Islamic history, especially Algeria, Tunisia, and Morocco, but also the history of European imperialism in the Arab world, modern Arab intellectual and political history, and the global history of Islam since c.1700; the French colonial empire in Africa; the Sahara; nationalism and revolutionary movements in Asia and Africa; comparative imperial history; historiography and critical theory. Hosted by: Mikey Muhanna 👉",history
"Melvyn Bragg and guests discuss the notorious events off Jamaica in 1781 and their background. The British slave ship Zong, having sailed across the Atlantic towards Jamaica, threw 132 enslaved Africans from its human cargo into the sea to drown. Even for a slave ship, the Zong was overcrowded; those murdered were worth more to the ship dead than alive. The crew said there was not enough drinking water to go round and they had no choice, which meant they could claim for the deaths on insurance. The main reason we know of this atrocity now is that the owners took their claim to court in London, and the insurers were at first told to pay up as if the dead slaves were any other lost goods, not people. Abolitionists in Britain were scandalised: if courts treated mass murder in the slave trade as just another business transaction and not a moral wrong, the souls of the nation would be damned. But nobody was ever prosecuted. The image above is of sailors throwing slaves overboard, from Torrey's 'American Slave Trade', 1822 With Vincent Brown Charles Warren Professor of American History and Professor of African and African American Studies at Harvard University Bronwen Everill Class of 1973 Lecturer in History and Fellow at Gonville & Caius College, University of Cambridge And Jake Subryan Richards Assistant Professor of History at the London School of Economics Studio production: Hannah Sander",history
"Would the Roman general Publius Cornelius Scipio successfully march on Africa? What happened when Hannibal and Scipio - the greatest commanders of their age - came head to head at the Battle of Zama, in the ultimate showdown? And, what would be the fate of these two titans of the ancient world? Join Tom and Dominic, as they discuss the Roman Republic’s audacious invasion of North Africa under the leadership of the dashing Scipio, and his clash with Hannibal. _______ To hear our previous series on the rise of Carthage, Hannibal, and the battle of Cannae, go to episodes: 421, 422, 423, 424, 568, 569, 570, 571. _______ Join The Rest Is History Club: Unlock the full experience of the show – with exclusive bonus episodes, ad-free listening, early access to every series and live show tickets, a members-only newsletter, discounted books from the show, and access to our private Discord chatroom. Sign up directly at ⁠the⁠restishistory.com⁠⁠ For more Goalhanger Podcasts, head to ⁠",history
"Tonight's sleepy episode takes us back to Ancient Egypt, with a compilation of stories that shed light on various aspects of this wonderful civilization. Stories include the biography of Queen Hatshepsut, the story of the discovery of the tomb of Tutankhamun, the story of Akhenaten (the ""heretic pharaoh"") and his new capital, Amarna, an overview of the different periods of Egyptian history, and finally the story of the Great Pyramid of Giza. #sleep #bedtimestory #asmr #sleepstory #history #egypt Welcome to Lights Out Library Join me for a sleepy adventure tonight. Sit back, relax, and fall asleep to documentary-style bedtime stories read in a calming ASMR voice. Learn something new while you enjoy a restful night of sleep. Listen ad free and get access to bonus content on our Patreon: ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠",history
"With this episode of Guerrilla History, we launch into Pan-Africanism as a great additional starting point to our series on African Revolutions and Decolonization. We bring on two marvelous guests, Prof. Layla Brown and Jacquie Luqman, to discuss the history, theoretical currents, and modern expressions of Pan-Africanism. This is a 2+ hour masterclass, you certainly won't want to miss a moment of it! Also subscribe to our Substack (free!) to keep up to date with what we are doing: guerrillahistory.substack.com Layla Brown is an Assistant Professor of Cultural Anthropology & Africana Studies and affiliate faculty in Women's, Gender, and Sexuality Studies. Brown's research focuses on Pan-African, Socialist, and Feminist social movements in Venezuela, the US, and the broader African Diaspora. She is a member of the All-African People's Revolutionary Party (GC), and can be found on twitter @PanAfrikFem_PhD. She also cohosts the Life. Study. Revolution podcast alongside Charisse Burden-Stelly. Jacquie Luqman is a radical activist, journalist, and is a coordinator with Black Alliance for Peace. You can follow some (but not all!) of her writings at Black Agenda Report, and watch her show Luqman Nation on Black Liberation Media. She is on twitter @luqmannation1. Help support the show by signing up to our patreon, where you also will get bonus content:",history
"This week we have a special two-part interview with renowned artist and educator David MacDonald. His large functional vessels are carved with intricate patterns that highlight and celebrate African heritage. For part two of my interview with David we talk about finding an entry into African aesthetics, the formal aspects of his repeating patterns, and how the use of functional objects in daily rituals can imbue them with spirituality. MacDonald is a Professor Emeritus of Ceramics at Syracuse University where he taught from 1971 to 2008.",arts
"Samira Ahmed talks to Daft Punk's Thomas Bangalter about their new album Mirage Ekow Eshun, writer and broadcaster, and Polly Savage, Lecturer in the Art History of Africa at SOAS, University of London, discuss an exhibition of Pan African art at the Barbican, Project a Black Planet Front Row introduces its AHRC/BBC New Generation Thinker for 2026, Genevieve Robyn Arkle, who is a Lecturer in Music History at King's College London And Opera director David Pountney on John Tavener's last opera Krishna, performed as a world premiere at Grange Park Opera",arts
